fips,state_fips_code,county_fips_code,housing_units_grams_oxy,housing_units_quant_oxy,housing_units_grams_hydro,housing_units_quant_hydro,num_homes_with_mortgage_grams_oxy,num_homes_with_mortgage_quant_oxy,num_homes_with_mortgage_grams_hydro,num_homes_with_mortgage_quant_hydro,one_bedroom_housing_units_grams_oxy,one_bedroom_housing_units_quant_oxy,one_bedroom_housing_units_grams_hydro,one_bedroom_housing_units_quant_hydro,two_bedroom_housing_units_grams_oxy,two_bedroom_housing_units_quant_oxy,two_bedroom_housing_units_grams_hydro,two_bedroom_housing_units_quant_hydro,three_bedroom_housing_units_grams_oxy,three_bedroom_housing_units_quant_oxy,three_bedroom_housing_units_grams_hydro,three_bedroom_housing_units_quant_hydro,four_bedroom_housing_units_grams_oxy,four_bedroom_housing_units_quant_oxy,four_bedroom_housing_units_grams_hydro,four_bedroom_housing_units_quant_hydro,five_bedroom_housing_units_grams_oxy,five_bedroom_housing_units_quant_oxy,five_bedroom_housing_units_grams_hydro,five_bedroom_housing_units_quant_hydro,males_in_agriculture_grams_oxy,males_in_agriculture_quant_oxy,males_in_agriculture_grams_hydro,males_in_agriculture_quant_hydro,males_in_construction_grams_oxy,males_in_construction_quant_oxy,males_in_construction_grams_hydro,males_in_construction_quant_hydro,males_in_manufacturing_grams_oxy,males_in_manufacturing_quant_oxy,males_in_manufacturing_grams_hydro,males_in_manufacturing_quant_hydro,males_in_logistics_grams_oxy,males_in_logistics_quant_oxy,males_in_logistics_grams_hydro,males_in_logistics_quant_hydro,females_in_agriculture_grams_oxy,females_in_agriculture_quant_oxy,females_in_agriculture_grams_hydro,females_in_agriculture_quant_hydro,females_in_construction_grams_oxy,females_in_construction_quant_oxy,females_in_construction_grams_hydro,females_in_construction_quant_hydro,females_in_manufacturing_grams_oxy,females_in_manufacturing_quant_oxy,females_in_manufacturing_grams_hydro,females_in_manufacturing_quant_hydro,females_in_logistics_grams_oxy,females_in_logistics_quant_oxy,females_in_logistics_grams_hydro,females_in_logistics_quant_hydro,num_degree_holders_grams_oxy,num_degree_holders_quant_oxy,num_degree_holders_grams_hydro,num_degree_holders_quant_hydro,pop_nonwhite_grams_oxy,pop_nonwhite_quant_oxy,pop_nonwhite_grams_hydro,pop_nonwhite_quant_hydro,est_total_bedrooms_grams_oxy,est_total_bedrooms_quant_oxy,est_total_bedrooms_grams_hydro,est_total_bedrooms_quant_hydro,pop_labor_jobs_grams_oxy,pop_labor_jobs_quant_oxy,pop_labor_jobs_grams_hydro,pop_labor_jobs_quant_hydro,Opioid_death_Crude_Rate_grams_oxy,Opioid_death_Crude_Rate_quant_oxy,Opioid_death_Crude_Rate_grams_hydro,Opioid_death_Crude_Rate_quant_hydro
33013,33,13,0.926404421,0.953631537,0.909958081,0.880736564,0.69351478,0.807015805,0.787750826,0.713969363,0.201254122,0.246279769,0.270809735,0.317632001,0.750533351,0.847100452,0.860508711,0.715002458,0.324830149,0.516973465,0.272397484,0.58660066,0.563324562,0.709560962,0.486203768,0.852311234,-0.791282032,-0.848895431,-0.939809526,-0.822851061,0.782119577,0.798285053,0.765811266,0.684851377,-0.584148414,-0.82593626,-0.693045244,-0.940397414,0.131391385,-0.102496274,0.100335815,-0.537506799,0.709386878,0.800305322,0.76519454,0.755861917,0.460437678,0.347003162,0.538468808,0.109884762,-0.251009604,-0.362449958,-0.198547816,-0.411476723,0.14959436,0.156412857,0.035319629,0.074825587,0.003739301,-0.119266916,-0.171919639,-0.287498233,0.845681558,0.939473756,0.908984634,0.96770722,0.860556724,0.938887357,0.93421445,0.930513096,0.406184918,0.590007194,0.341552552,0.660386647,-0.269293376,-0.580262623,-0.413905645,-0.924779928,0,0,0,0
33015,33,15,0.969075289,0.91779672,0.941875209,0.698680719,-0.190979057,-0.219758536,-0.019308723,-0.190941066,-0.574824966,-0.524547154,-0.424117115,-0.510472569,0.317459057,0.42161985,0.04539617,0.767904018,-0.517981413,-0.369601185,-0.674625952,-0.04067099,0.904278049,0.857993153,0.955746589,0.553689833,-0.038780393,-0.000807183,-0.255210467,0.363799299,-0.208392971,-0.055185423,-0.436204384,0.342044565,-0.967024619,-0.948001796,-0.912793541,-0.818314976,-0.487516718,-0.597270887,-0.189731315,-0.846359053,-0.808899076,-0.831134996,-0.610412805,-0.922370815,-0.764420114,-0.743192908,-0.796799503,-0.589773845,-0.15769605,-0.227184454,-0.026326375,-0.366873906,0.079201491,0.148435484,-0.05650269,0.291334496,0.137767926,0.263681811,0.079947715,0.557586084,0.798550141,0.84009891,0.642407796,0.876184986,0.868571262,0.830568682,0.9117064,0.48670582,0.771387415,0.848150278,0.611850008,0.89445231,-0.918225582,-0.940155164,-0.755844374,-0.960499099,0.094234705,0.245395131,0.151187539,0.139947604
33019,33,19,0.751476241,0.338179488,0.501479781,0.860125887,0.847640459,0.787196046,0.130685574,0.655312345,-0.948395207,-0.952082352,0.134436371,-0.374916142,-0.267511471,0.147536977,-0.860664144,-0.766485644,0.902851715,0.577619978,0.266454245,0.737145932,0.799270664,0.581472155,0.376449132,0.664094764,-0.951219834,-0.701188763,-0.209359236,-0.714409943,0.070266756,0.249409972,0.231279162,-0.99545882,-0.848247264,-0.919506443,0.603310014,0.54397498,0.131314665,-0.009200744,-0.356061231,0.953335018,0.626175487,0.39177617,-0.874481764,0.716297825,0.979431154,0.888059163,-0.96698878,0.181368767,-0.86523124,-0.974180578,0.58649917,0.382068376,0.981434673,0.88337484,-0.973812692,0.146629076,-0.959474637,-0.991756402,0.766648598,0.278562293,0.877310737,0.60953559,0.207349496,0.738929506,0.772049078,0.373772797,0.464956217,0.832479767,0.944126643,0.701663096,0.086558894,0.593353609,0.120891016,-0.085030528,-0.42731048,0.990409402,0,0,0,0
34001,34,1,0.901816616,0.900373509,-0.562779929,-0.593128119,-0.472805289,-0.518747705,0.822285289,0.752319652,-0.644589133,-0.651361473,0.205726686,0.17081805,-0.765386003,-0.743556244,0.461117212,0.544422336,0.634242201,0.662943245,0.045542206,0.102729603,0.562321915,0.558436678,-0.631483995,-0.717243139,-0.295313216,-0.286558062,-0.193561317,-0.175677321,-0.965722497,-0.94898908,0.693591268,0.687443285,-0.865635905,-0.899536867,0.784572552,0.730847354,0.349065626,0.350403322,-0.840824108,-0.890489922,-0.293229422,-0.222525822,-0.365901661,-0.348668488,-0.855677695,-0.802739823,0.431461766,0.497910182,-0.542111288,-0.58771981,0.967494639,0.946300033,0.38009147,0.420004412,-0.909243024,-0.884865913,-0.339419716,-0.344463591,-0.238478893,-0.250630234,-0.094908333,-0.076987569,-0.632958129,-0.656260068,0.84204612,0.85968376,-0.720426928,-0.695895612,-0.277800417,-0.233483043,-0.505525683,-0.493281014,-0.711362978,-0.6953544,0.04331749,0.015637086,0.624955885,0.666619289,-0.776363965,-0.760382845
34003,34,3,0.883290002,0.883198031,-0.169105654,-0.428989588,-0.941308684,-0.934775111,0.468086745,0.556501353,-0.446834283,-0.474678519,-0.331894096,-0.127801022,-0.196055157,-0.172716772,0.457680696,0.428063772,-0.869780157,-0.853158261,0.560685709,0.626022755,-0.93259147,-0.934416497,0.170458734,0.425764828,-0.133370081,-0.177558268,-0.391927713,-0.390972343,0.898836859,0.871265395,-0.691185832,-0.789901409,-0.117347031,-0.072880226,0.871739027,0.608666331,-0.866793056,-0.874865809,0.145509084,0.328519519,-0.606209273,-0.590461636,0.589411433,0.417212546,0.828876683,0.798104048,-0.53056041,-0.764321858,-0.247072398,-0.194737288,0.864751268,0.764848044,0.315305294,0.264287568,-0.857577845,-0.783524649,-0.641036635,-0.662391209,-0.051190772,0.053014426,-0.08947447,-0.064401737,0.048802294,0.437481316,0.712715759,0.707333508,-0.448775208,-0.368071159,-0.972886994,-0.971971832,0.340499229,0.501642491,-0.72493867,-0.711180577,0.623135343,0.49608385,0.670621172,0.697061702,0.010538448,0.018150594
34005,34,5,0.935750955,0.940658882,0.387693986,0.640990606,-0.274084889,-0.23762693,0.454656983,0.092852729,-0.877182489,-0.856681488,-0.040134128,-0.326153399,-0.202791699,-0.251710024,-0.737687363,-0.605546027,0.506474604,0.454999009,-0.567607646,-0.138626238,0.339912433,0.386947423,0.831330678,0.675828249,0.907628462,0.925227663,0.587638593,0.80830944,0.309631234,0.305481922,0.024574842,-0.007068998,-0.90131605,-0.912712854,-0.434641804,-0.699502587,-0.956651587,-0.946797236,-0.247547941,-0.648462515,-0.556061069,-0.512120312,0.449974306,0.028146466,0.544421357,0.564200369,0.306332347,0.394397261,-0.235278661,-0.192310508,0.760328993,0.485343202,0.129445177,0.084113111,-0.830428163,-0.595208369,-0.740484568,-0.773716272,-0.857939275,-0.905340644,0.890010947,0.894017119,0.399329874,0.758424487,0.880630783,0.865753575,0.145832258,0.556326904,0.861081476,0.878011545,0.60011849,0.766842319,-0.925805673,-0.931558493,-0.465977265,-0.806219583,0.602731868,0.571883258,-0.134558231,0.322013221
34007,34,7,0.950736972,0.929337772,-0.208549333,0.03307106,-0.26662275,-0.252165749,0.890206723,0.68968329,0.823601431,0.888935905,-0.427823935,-0.25667257,-0.807939651,-0.833700207,-0.12798546,-0.376235948,-0.848408573,-0.860326644,-0.201595669,-0.479219947,0.933697926,0.922853317,-0.024879245,0.305810316,0.354372631,0.434460937,-0.124546515,0.060963293,0.876244425,0.8608385,0.200814169,0.487703197,-0.894517036,-0.889285155,0.425566793,0.134022438,-0.151105479,-0.124061579,0.332226663,0.207574382,0.862224083,0.810253198,0.180978181,0.381470777,0.581466265,0.650548422,0.172838332,0.276779828,-0.22991014,-0.251929024,0.893918359,0.892143898,0.320399559,0.343951321,-0.825784173,-0.823711756,-0.479862426,-0.52406644,-0.618905888,-0.82204667,0.864738693,0.848063773,-0.509883337,-0.180841058,0.903019172,0.885138887,-0.434929832,-0.143945133,0.552025108,0.557041397,-0.732974291,-0.474086491,-0.282804956,-0.287598871,0.46364617,0.266350174,-0.160830885,-0.081219172,-0.477134945,-0.482471982
34009,34,9,0.816139385,0.793721844,-0.327456388,-0.435494459,-0.64555778,-0.575527668,0.753790613,0.825097931,-0.88409837,-0.899264401,0.201114547,0.329572139,-0.879286662,-0.859276831,0.459874373,0.589077333,0.365434816,0.369674446,0.29891917,0.283643506,0.77747184,0.749064866,-0.765812128,-0.875644353,-0.44313785,-0.468644692,-0.346556201,-0.22487807,0.818856567,0.864657896,0.005178344,-0.100419868,-0.787798416,-0.841357003,-0.076109176,0.070292127,-0.865074569,-0.852832889,0.60896304,0.824948128,-0.062912874,-0.042275695,0.090370242,-0.235356783,0.602188876,0.669852551,0.312006894,0.204689263,0.56418551,0.631286666,0.240463168,-0.071661058,-0.719857636,-0.755049279,0.135246768,0.452257912,-0.646529779,-0.628574882,0.577105442,0.833498092,0.420973674,0.455719821,-0.07730394,-0.013933762,0.88789707,0.902900713,-0.170785575,-0.292874422,0.41607446,0.381561491,-0.218530931,-0.178706828,-0.992656995,-0.997277738,0.477729153,0.615771022,0,0,0,0
34011,34,11,0.869439633,0.88491684,0.821784423,0.834171943,-0.755440745,-0.738540823,-0.620739311,-0.531859571,-0.871214007,-0.88058135,-0.920253037,-0.896332883,-0.722358768,-0.684422011,-0.364098952,-0.268336574,-0.513958479,-0.542833791,-0.573746327,-0.645238511,0.910598192,0.89819038,0.681515886,0.642637157,0.894430055,0.87382268,0.647434687,0.60101526,0.970178144,0.965236581,0.691704047,0.636570348,-0.934959485,-0.931603955,-0.67557147,-0.615138297,-0.957731946,-0.950532961,-0.670451425,-0.608395836,-0.780648378,-0.784739669,-0.546331322,-0.505802007,0.989382547,0.984477871,0.766177204,0.717126156,-0.37217195,-0.359275148,0.013418353,0.041908823,0.228773322,0.218753476,-0.093607978,-0.108052961,0.056282134,0.070202145,0.164834738,0.193988237,0.949978126,0.961753882,0.866618415,0.859283471,0.96952514,0.967074283,0.826310452,0.775760861,0.441342063,0.396565429,0.123903484,0.019160132,-0.90512021,-0.895534625,-0.554862324,-0.481940723,0,0,0,0
34013,34,13,0.081428311,0.72566191,-0.279965619,-0.530157145,-0.779131072,-0.854722248,0.792209472,0.911011159,-0.517107571,-0.916626091,0.309975836,0.607403446,-0.590386017,-0.715238084,0.36911479,0.588888405,0.362210539,-0.298156398,-0.547698607,-0.232519732,-0.477900396,-0.804086209,0.592572165,0.736995663,0.207866362,-0.502765687,0.077370934,0.292620352,0.302945638,-0.453631111,-0.184444128,0.064484,-0.259335589,-0.84536977,0.328323754,0.582256924,-0.726439475,-0.913221078,0.75923126,0.908443075,-0.265374649,0.355476442,0.39894579,0.13516725,0.733958339,0.774388194,-0.952849641,-0.934652061,-0.429630437,-0.256019893,0.816277984,0.642616806,0.360418157,0.136928533,-0.767278905,-0.56040375,-0.574821801,-0.328852062,0.372550275,0.458552657,0.141352052,0.719748754,0.02867063,-0.274454414,0.584048044,0.834779714,-0.590339357,-0.740087358,-0.297124847,-0.842067843,0.216263531,0.52595241,-0.512452682,-0.899151426,0.51323909,0.743572956,0.510910464,0.032779451,-0.795488871,-0.58092556
34015,34,15,0.852961856,0.867940416,-0.4926979,-0.62304665,-0.113674027,-0.144255306,-0.400155995,-0.291744357,-0.395703067,-0.429952794,-0.201918362,-0.054245203,0.371616332,0.422799326,0.302526537,0.171179266,0.617661262,0.624020671,-0.332700476,-0.418039952,0.442098687,0.411423353,-0.399384906,-0.423667019,0.230221589,0.175176664,-0.836815397,-0.773192851,-0.401396164,-0.352702169,0.556105549,0.561991742,-0.974282736,-0.96784381,0.592542761,0.729712444,-0.954101579,-0.938470409,0.700193825,0.830489519,-0.787852772,-0.824174404,0.131560104,0.285969842,-0.545943991,-0.574483738,-0.007753148,0.110665925,-0.306728571,-0.2914606,0.816301452,0.747859506,-0.034839274,-0.049304715,-0.67046099,-0.538426594,0.087483787,0.055195316,-0.84197383,-0.717500056,0.794419527,0.754269398,-0.560597668,-0.678691764,0.9532477,0.941055955,-0.59127452,-0.720535369,0.55843021,0.528522113,-0.580737875,-0.609185219,-0.992539378,-0.987229663,0.495599427,0.660507505,-0.073047701,-0.11438797,-0.220497868,-0.166178614
