,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,FIPS
1793,CT,6384,NEW LONDON,9015
1796,CA,92007,SAN DIEGO,6073
1797,ID,83450,JEFFERSON,16051
1798,CA,92822,ORANGE,6059
1800,CO,81323,MONTEZUMA,8083
1801,SC,29639,ABBEVILLE,45001
1803,PA,15367,WASHINGTON,42125
1804,CT,6524,NEW HAVEN,9009
1805,GA,30810,GLASCOCK,13301
1806,PA,15352,GREENE,42059
1808,TX,76259,DENTON,48497
1812,FL,32179,MARION,12083
1815,NC,28127,STANLY,37167
1816,PA,15936,SOMERSET,42111
1818,WI,53036,JEFFERSON,55055
1821,FL,33031,MIAMI-DADE,12086
1823,NY,12842,HAMILTON,36041
1824,MS,39426,PEARL RIVER,28109
1825,VT,5459,FRANKLIN,50011
1827,IA,50597,PALO ALTO,19151
1829,IL,62952,UNION,17181
1830,AL,35046,CHILTON,1037
1832,CA,93516,KERN,6029
1837,AR,72602,BOONE,5009
1839,TN,38256,HENRY,47079
1841,IN,46926,MIAMI,18169
1842,MA,2769,BRISTOL,25005
1845,TX,78733,TRAVIS,48453
1847,OR,97532,JOSEPHINE,41033
1848,SC,29171,LEXINGTON,45063
1852,MI,49688,OSCEOLA,26165
1854,ID,83354,BLAINE,16013
1855,FL,32766,SEMINOLE,12127
1857,AK,99755,DENALI,2068
1858,TX,76487,PARKER,48367
1861,TX,79602,TAYLOR,48441
1862,TX,76097,JOHNSON,48251
1865,ME,4290,OXFORD,23017
1866,NY,12580,DUTCHESS,36027
1868,KS,67525,BARTON,20009
1871,VT,5341,WINDHAM,50025
1873,IN,47637,WARRICK,18173
1874,FL,34484,SUMTER,12119
1875,CT,6277,WINDHAM,9015
1876,CA,95450,SONOMA,6097
1877,ME,4363,KENNEBEC,23011
1880,WA,98093,KING,53033
1883,RI,2830,PROVIDENCE,44007
1884,NY,13215,ONONDAGA,36067
1885,ID,83826,BOUNDARY,16021
1886,FL,33421,PALM BEACH,12099
1887,MN,55709,ITASCA,27061
1889,OH,44859,ASHLAND,39005
1893,MO,63089,FRANKLIN,29071
1897,CA,95634,EL DORADO,6017
1898,FL,32502,ESCAMBIA,12033
1899,KS,66716,BOURBON,20011
1901,NJ,7632,BERGEN,34003
1904,FL,32667,ALACHUA,12083
1910,NY,10987,ORANGE,36071
1913,SC,29439,CHARLESTON,45019
1915,GA,30320,FULTON,13121
1918,LA,71242,WEST CARROLL,22123
1919,NC,28055,GASTON,37071
1921,CA,92585,RIVERSIDE,6065
1924,LA,71371,LA SALLE,22059
1926,TX,78260,BEXAR,48029
1929,MD,20889,MONTGOMERY,24031
1931,MS,39201,HINDS,28049
1934,KY,40348,BOURBON,21017
1936,PA,15261,ALLEGHENY,42003
1941,LA,70730,EAST FELICIANA,22037
1943,NH,3455,CHESHIRE,33005
1945,CA,95005,SANTA CRUZ,6087
1946,WY,83014,TETON,56039
1947,CA,95558,HUMBOLDT,6023
1949,NY,12941,ESSEX,36031
1952,AZ,85601,PIMA,4019
1955,TN,37183,BEDFORD,47127
1957,OH,43787,MORGAN,39115
1960,PA,18058,MONROE,42089
1963,CO,81403,MONTROSE,8091
1965,VA,22546,CAROLINE,51097
1968,FL,32094,SUWANNEE,12121
1969,MD,21087,BALTIMORE,24005
1973,ME,4849,WALDO,23027
1974,CA,92276,RIVERSIDE,6065
1977,NY,12993,ESSEX,36031
1980,CT,6278,WINDHAM,9015
1981,NY,14058,GENESEE,36073
1985,ND,58569,GRANT,38059
1987,TX,79855,CULBERSON,48109
1988,CA,95614,EL DORADO,6017
1989,CA,95562,HUMBOLDT,6023
1991,NM,87931,SIERRA,35051
1992,MD,21802,WICOMICO,24045
